domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
  vadiraj.kulkarni, 25598 (25.00KB), 0, 15, 25598, 0, 0, 0, 0
  vijay.mandhayan, 2970646 (2.83MB), 0, 72, 2970646, 0, 0, 0, 0
  anuja.nerurkar, 131960 (128.87KB), 0, 19, 131960, 0, 0, 0, 0
  gautam.benjamin, 81107 (79.21KB), 0, 20, 81107, 0, 0, 0, 0
  sandesh.kadam, 2480975 (2.37MB), 0, 15, 2480975, 0, 0, 0, 0
  kunal.patil, 64960 (63.44KB), 0, 21, 64960, 0, 0, 0, 0
  b.manohar, 29648 (28.95KB), 0, 16, 29648, 0, 0, 0, 0
  aditi.aggarwal, 44701 (43.65KB), 0, 14, 44701, 0, 0, 0, 0
  rituparna.roy, 23459 (22.91KB), 0, 15, 23459, 0, 0, 0, 0
  vasant.kabra, 59610 (58.21KB), 0, 17, 59610, 0, 0, 0, 0
  karan.raheja, 88106 (86.04KB), 0, 23, 88106, 0, 0, 0, 0
  ahsl.investorgrievance, 393403 (384.18KB), 0, 48, 393403, 0, 0, 0, 0
  epo.admin, 168074 (164.13KB), 0, 21, 168074, 0, 0, 0, 0
  devang.babla, 27319 (26.68KB), 0, 17, 27319, 0, 0, 0, 0
  amir.alam, 27485 (26.84KB), 0, 9, 27485, 0, 0, 0, 0
  deepak.goel, 32763 (32.00KB), 0, 12, 32763, 0, 0, 0, 0
  bharati.pawar, 43393 (42.38KB), 0, 15, 43393, 0, 0, 0, 0
  kunal.shah, 49845 (48.68KB), 0, 17, 49845, 0, 0, 0, 0
  jatinder.bains, 11586 (11.31KB), 0, 5, 11586, 0, 0, 0, 0
  shrenik.vora, 54420 (53.14KB), 0, 14, 54420, 0, 0, 0, 0
  bankcomm, 30096 (29.39KB), 0, 16, 30096, 0, 0, 0, 0
  santosh.jhawar, 35143 (34.32KB), 0, 18, 35143, 0, 0, 0, 0
  akshay.rao, 44150 (43.12KB), 0, 15, 44150, 0, 0, 0, 0
  patricia.lobo, 21041 (20.55KB), 0, 12, 21041, 0, 0, 0, 0
  emptrading, 22447 (21.92KB), 0, 12, 22447, 0, 0, 0, 0
  shashi.gupta, 31259 (30.53KB), 0, 12, 31259, 0, 0, 0, 0
